,ticker,indices
198,ARRY,['Russell 2000']
199,ARTNA,['Russell 2000']
200,ARVN,['Russell 2000']
201,ARWR,['Russell 2000']
202,ASAN,['Russell 2000']
203,ASB,['Russell 2000']
204,ASC,['Russell 2000']
205,ASGN,['Russell 2000']
206,ASIX,['Russell 2000']
207,ASLE,['Russell 2000']
208,ASML,['Nasdaq 100']
209,ASO,['Russell 2000']
210,ASPN,['Russell 2000']
211,ASTE,['Russell 2000']
212,ASTR,['Russell 2000']
213,ATCX,['Russell 2000']
214,ATEC,['Russell 2000']
215,ATEN,['Russell 2000']
216,ATER,['Russell 2000']
217,ATEX,['Russell 2000']
218,ATGE,['Russell 2000']
219,ATHA,['Russell 2000']
220,ATI,['Russell 2000']
221,ATIP,['Russell 2000']
222,ATKR,['Russell 2000']
223,ATLC,['Russell 2000']
224,ATNI,['Russell 2000']
225,ATO,['S&P 500']
226,ATOM,['Russell 2000']
227,ATRA,['Russell 2000']
228,ATRC,['Russell 2000']
229,ATRI,['Russell 2000']
230,ATRO,['Russell 2000']
231,ATSG,['Russell 2000']
232,ATVI,"['S&P 500', 'Nasdaq 100']"
233,AUB,['Russell 2000']
234,AUD,['Russell 2000']
235,AUPH,['Russell 2000']
236,AURA,['Russell 2000']
237,AVA,['Russell 2000']
238,AVAH,['Russell 2000']
239,AVAV,['Russell 2000']
240,AVB,['S&P 500']
241,AVD,['Russell 2000']
242,AVDX,['Russell 2000']
243,AVGO,"['S&P 500', 'Nasdaq 100']"
244,AVID,['Russell 2000']
245,AVIR,['Russell 2000']
246,AVNS,['Russell 2000']
247,AVNT,['Russell 2000']
248,AVNW,['Russell 2000']
249,AVO,['Russell 2000']
250,AVPT,['Russell 2000']
251,AVTE,['Russell 2000']
252,AVXL,['Russell 2000']
253,AVY,['S&P 500']
254,AVYA,['Russell 2000']
255,AWK,['S&P 500']
256,AWR,['Russell 2000']
257,AX,['Russell 2000']
258,AXGN,['Russell 2000']
259,AXL,['Russell 2000']
260,AXNX,['Russell 2000']
261,AXP,['S&P 500']
262,AXSM,['Russell 2000']
263,AXTI,['Russell 2000']
264,AZN,['Nasdaq 100']
265,AZO,['S&P 500']
266,AZZ,['Russell 2000']
267,B,['Russell 2000']
268,BA,['S&P 500']
269,BAC,['S&P 500']
270,BALL,['S&P 500']
271,BALY,['Russell 2000']
272,BANC,['Russell 2000']
273,BAND,['Russell 2000']
274,BANF,['Russell 2000']
275,BANR,['Russell 2000']
276,BARK,['Russell 2000']
277,BASE,['Russell 2000']
278,BATL,['Russell 2000']
279,BATRA,['Russell 2000']
280,BATRK,['Russell 2000']
281,BAX,['S&P 500']
282,BBBY,['Russell 2000']
283,BBCP,['Russell 2000']
284,BBIG,['Russell 2000']
285,BBIO,['Russell 2000']
286,BBLN,['Russell 2000']
287,BBSI,['Russell 2000']
288,BBUC,['Russell 2000']
289,BBW,['Russell 2000']
290,BBWI,['S&P 500']
291,BBY,['S&P 500']
292,BCBP,['Russell 2000']
293,BCC,['Russell 2000']
294,BCML,['Russell 2000']
295,BCO,['Russell 2000']
296,BCOR,['Russell 2000']
297,BCOV,['Russell 2000']
298,BCPC,['Russell 2000']
299,BCRX,['Russell 2000']
300,BDC,['Russell 2000']
301,BDN,['Russell 2000']
302,BDX,['S&P 500']
303,BE,['Russell 2000']
304,BEAM,['Russell 2000']
305,BECN,['Russell 2000']
306,BEN,['S&P 500']
307,BF-B,['S&P 500']
308,BFC,['Russell 2000']
309,BFH,['Russell 2000']
310,BFLY,['Russell 2000']
311,BFS,['Russell 2000']
312,BFST,['Russell 2000']
313,BGCP,['Russell 2000']
314,BGFV,['Russell 2000']
315,BGRY,['Russell 2000']
316,BGS,['Russell 2000']
317,BH,['Russell 2000']
318,BHB,['Russell 2000']
319,BHE,['Russell 2000']
320,BHG,['Russell 2000']
321,BHIL,['Russell 2000']
322,BHLB,['Russell 2000']
323,BHR,['Russell 2000']
324,BHVN,['Russell 2000']
325,BIDU,['Nasdaq 100']
326,BIG,['Russell 2000']
